how_long_have_you_worked_for_your_current_employer,which_of_the_following_groups_best_describes_your_employment_level,approximately_what_is_the_size_of_your_employer's_workforce,i_pursue_job_opportunities_even_if_i_do_not_fulfill_all_of_the_requirements_on_a_job_description,which_of_the_following_groups_best_describes_the_organization_that_you_work_for,leadership_opportunities,i_let_my_manager_know_what_i_want_with_the_expectation_that_it_will_generate_growth_opportunities,i_avoid_discussions_about_salary_and_incentives,what_country_do_you_currently_live_in,i_trust_that_i_am_compensated_appropriately_for_my_accomplishments,family_commitments,yes_one_or_more_children
0,1,2,1,7,1,2,2,3,2,0,0
1,2,2,2,7,1,2,1,9,1,0,0
0,1,1,1,5,1,1,2,10,2,0,0
1,2,2,1,7,2,2,2,10,2,0,0
1,2,2,1,1,1,2,2,1,2,1,1
0,1,2,2,7,1,1,2,9,1,0,0
0,2,1,2,4,2,2,1,10,2,0,1
1,2,1,2,1,1,2,1,1,2,0,0
0,1,1,2,1,2,2,1,9,2,1,0
1,2,1,1,7,1,1,2,10,1,0,0
1,2,2,0,7,2,1,1,6,2,0,0
1,2,1,1,7,2,2,1,2,2,0,0
0,2,2,1,7,1,2,1,9,2,1,0
0,2,1,1,7,2,2,1,10,0,1,0
0,2,2,1,7,1,2,2,9,1,0,0
0,2,1,1,7,2,2,1,9,2,1,0
1,0,1,1,7,2,1,1,10,1,0,0
0,2,1,2,7,2,2,1,10,2,0,0
1,2,1,2,7,2,2,1,10,1,1,0
0,2,1,1,9,1,2,2,3,2,0,0
1,1,1,1,7,1,2,1,2,1,0,0
1,2,2,1,7,2,1,2,10,1,1,1
0,2,2,2,7,2,1,2,10,2,1,1
1,2,2,2,7,1,2,1,9,2,1,0
0,1,2,1,7,2,2,1,10,2,0,0
0,1,1,2,7,2,2,1,10,1,0,0
1,1,1,1,5,1,1,2,10,1,0,0
1,2,1,0,5,2,2,2,10,2,1,1
0,2,2,2,7,1,2,1,9,1,1,1
0,1,2,2,7,1,2,1,9,1,0,0
0,1,2,2,8,2,2,2,10,2,1,0
0,1,1,2,7,2,2,1,10,1,0,1
0,1,1,1,7,2,2,2,9,2,0,0
1,2,1,2,2,1,2,1,10,1,1,0
0,2,1,2,5,1,2,1,10,2,1,1
0,1,1,1,7,1,1,0,4,2,0,0
1,2,1,2,1,2,1,1,1,1,0,0
0,1,1,2,7,2,2,2,10,1,0,0
0,1,1,2,7,1,0,2,9,2,0,0
0,2,1,1,7,1,2,1,10,1,0,1
1,2,1,2,5,2,2,1,10,1,1,1
1,2,1,0,7,2,2,2,10,1,1,1
0,2,1,1,7,2,2,1,9,2,0,0
0,2,1,2,5,2,2,1,10,2,1,0
1,1,1,1,7,2,2,1,10,1,1,0
1,2,1,1,7,1,2,2,10,2,0,0
1,2,1,1,7,2,2,1,10,1,0,1
0,1,2,2,7,2,2,1,9,1,0,0
0,1,2,2,9,0,2,2,4,2,0,0
1,2,1,2,5,2,2,1,9,2,1,0
0,1,1,2,7,2,2,2,4,2,0,0
0,2,2,1,7,1,1,2,9,1,0,1
0,1,2,2,7,0,0,1,10,2,0,0
0,2,1,2,7,2,2,1,10,2,1,1
0,2,1,2,5,1,2,1,10,1,0,0
0,1,1,1,7,2,2,1,10,1,0,0
1,2,1,1,5,2,1,2,10,2,1,0
1,2,1,2,7,2,2,1,10,2,1,0
1,2,2,1,7,2,1,1,10,1,0,0
0,1,2,2,7,1,2,2,3,1,0,0
0,1,2,2,7,2,2,1,10,1,0,0
0,2,1,1,7,2,2,1,4,1,0,0
0,2,2,1,7,1,2,2,10,1,0,0
0,2,1,0,7,2,0,1,10,2,1,0
0,1,1,2,7,2,2,1,10,2,0,0
1,2,0,1,1,1,2,0,1,1,0,0
0,1,2,2,7,2,2,1,10,2,1,1
0,2,2,0,7,2,2,1,10,2,0,0
0,2,1,2,7,2,1,1,10,2,0,0
0,2,1,2,8,2,2,1,10,2,0,0
0,1,1,1,7,2,2,2,10,1,0,0
1,2,0,1,0,0,1,2,10,2,0,0
0,1,1,2,7,1,2,1,10,1,0,0
1,2,1,2,1,2,1,1,1,1,0,0
0,1,1,2,7,0,2,1,9,2,1,0
0,1,2,2,7,1,2,1,10,2,0,0
0,1,1,1,7,1,2,2,9,1,0,0
0,2,2,1,7,2,2,2,9,1,1,1
0,1,1,2,7,2,2,1,9,1,0,1
0,1,2,2,7,1,2,2,9,1,0,0
0,1,2,2,7,2,2,2,10,1,0,0
1,1,2,1,7,2,2,2,10,2,1,0
0,2,1,2,7,2,1,2,10,2,0,0
0,1,1,1,7,2,1,2,10,2,0,0
1,2,2,1,7,1,2,2,10,1,1,0
0,2,1,1,7,1,2,1,10,1,1,0
0,2,1,1,4,2,2,2,10,1,0,1
0,1,2,1,8,2,2,2,5,2,1,1
0,2,2,2,7,1,1,2,9,1,0,0
1,2,1,1,7,2,2,1,10,2,1,1
1,2,2,1,1,1,2,2,1,2,0,0
1,2,1,1,7,1,2,2,10,2,1,0
1,2,1,1,7,1,2,2,10,1,0,0
1,2,1,2,5,1,2,1,10,2,1,1
1,0,2,1,8,2,2,2,10,1,1,1
1,2,2,2,7,2,1,1,10,1,1,0
1,2,1,1,5,2,1,2,10,2,0,0
1,2,2,1,7,1,2,1,10,1,0,0
0,1,1,2,5,2,2,1,10,2,0,0
1,2,1,2,1,2,2,1,1,2,0,0
0,2,1,2,7,2,2,1,10,2,0,1
0,1,1,1,7,2,2,2,10,1,1,0
0,2,1,1,7,1,1,2,10,1,0,0
0,1,1,2,8,2,2,2,10,2,1,0
0,1,1,1,7,2,1,2,4,2,0,0
1,2,1,2,7,2,2,1,10,2,1,0
1,2,2,2,7,1,2,1,9,1,1,1
0,1,1,2,7,1,2,1,9,1,0,0
0,1,1,1,7,2,1,1,2,2,1,0
0,1,1,1,7,2,2,1,10,1,0,0
0,1,1,1,5,1,2,2,9,1,1,1
1,2,2,1,7,2,1,2,9,1,1,1
1,2,2,1,1,2,1,2,1,1,1,0
0,1,2,2,7,1,2,1,9,1,0,0
0,2,1,2,7,2,2,1,10,2,1,1
0,2,2,2,5,1,1,2,10,2,0,0
0,2,2,2,7,1,2,1,10,1,0,1
1,2,1,1,5,1,2,2,10,2,1,1
0,1,2,1,7,1,1,2,9,1,0,0
0,1,2,2,7,1,2,2,9,1,0,0
0,2,2,1,1,2,2,1,10,1,1,1
0,1,2,2,7,2,2,1,10,1,0,0
0,2,1,2,7,1,2,1,4,1,0,0
1,2,1,1,7,2,2,1,10,1,1,1
0,1,1,0,7,2,0,1,10,2,0,0
0,1,1,2,1,2,2,2,10,2,0,0
1,2,1,0,1,1,0,1,10,1,0,0
0,2,2,1,1,2,1,1,1,2,1,1
0,2,1,2,7,1,2,1,10,1,1,1
1,2,1,1,5,2,2,2,10,2,0,0
1,2,2,2,7,2,2,2,3,1,0,0
0,2,2,2,1,2,2,2,1,1,0,0
1,2,1,0,8,2,2,1,10,2,1,1
0,2,2,1,7,2,2,2,3,1,0,1
1,2,1,2,1,2,2,1,10,2,0,1
0,1,1,1,6,2,2,1,9,2,1,0
0,1,1,1,7,2,2,2,10,1,1,0
1,2,1,1,7,1,2,2,10,2,0,0
0,2,1,2,5,2,2,2,10,2,1,0
1,2,1,1,7,2,2,2,10,1,0,0
0,1,1,2,7,2,2,2,10,1,0,0
0,2,1,1,7,2,1,2,10,1,1,0
1,2,2,2,7,2,0,2,9,1,1,0
0,1,1,1,7,2,2,1,9,1,0,0
1,2,1,2,7,1,2,1,9,1,1,1
0,2,2,2,1,2,2,2,10,1,0,0
0,2,1,2,8,0,1,2,9,2,0,0
1,2,2,1,7,2,1,2,10,1,1,1
0,1,1,2,7,2,2,2,9,1,0,0
0,2,1,2,7,2,2,1,10,2,1,1
0,1,1,2,1,2,1,2,3,2,0,0
1,2,1,2,7,1,2,1,5,2,0,0
0,2,1,1,7,2,2,1,2,2,1,0
1,2,0,2,7,2,2,2,10,2,1,1
0,1,1,0,7,2,2,0,9,2,0,0
0,1,2,1,7,2,1,2,9,2,0,0
0,2,2,1,6,2,2,2,1,2,0,0
0,2,1,2,5,0,1,1,10,1,0,0
1,2,2,2,7,1,2,1,3,1,0,0
1,2,2,2,7,2,2,1,10,1,0,0
0,1,1,2,0,2,2,2,9,1,0,0
0,1,2,1,7,1,1,1,9,2,0,0
1,2,1,0,8,2,0,1,10,2,0,0
1,1,1,2,7,2,2,0,4,2,1,1
0,2,1,2,7,2,2,2,10,1,0,0
1,2,1,2,5,2,1,1,10,2,1,0
1,2,1,0,7,2,0,1,10,2,0,0
1,2,1,0,7,2,2,2,9,2,1,1
0,2,2,2,1,2,2,2,1,2,0,0
0,1,1,2,5,2,2,1,10,1,0,0
0,2,2,2,1,0,2,2,10,1,1,0
0,0,2,2,8,2,2,1,10,1,1,0
0,1,1,2,7,1,2,1,10,1,0,0
0,2,1,1,7,2,2,2,9,2,0,0
0,1,1,0,7,1,1,1,10,2,0,0
0,2,1,1,7,2,2,2,9,2,1,1
0,1,1,2,7,2,2,2,10,1,1,0
0,2,1,2,5,1,2,1,9,2,1,0
0,1,2,1,7,1,2,2,3,2,0,0
0,1,1,2,7,2,2,2,10,2,1,0
0,1,2,2,1,2,2,1,10,2,1,1
0,2,1,2,7,2,2,1,10,2,1,0
0,2,1,2,7,2,2,1,2,2,0,0
1,2,2,1,7,1,1,1,10,1,0,0
0,2,2,1,1,1,2,2,9,1,0,0
0,2,2,1,7,2,1,1,3,2,1,1
0,2,2,2,7,1,1,2,10,2,1,1
1,1,2,1,7,1,2,2,9,2,1,0
1,1,1,1,5,2,2,2,10,1,1,0
1,2,1,2,7,2,2,2,10,2,1,0
0,2,1,2,7,2,2,1,9,2,0,0
0,2,1,2,4,2,2,1,10,1,1,0
0,1,1,2,7,2,1,0,10,0,0,0
0,2,2,1,7,2,2,1,4,1,0,0
1,2,1,2,7,1,2,2,10,1,1,0
0,2,1,2,5,2,2,2,10,2,0,0
0,2,2,0,1,2,2,0,10,1,0,0
0,1,1,1,5,1,2,1,10,1,0,0
0,1,1,1,7,2,1,1,9,2,0,0
1,2,2,2,7,1,1,2,9,1,0,0
1,2,2,0,8,2,2,1,10,2,1,0
1,2,1,0,1,2,2,0,10,1,1,0
0,2,1,1,5,2,2,2,10,1,0,0
0,2,1,1,5,0,2,2,10,1,0,0
1,1,2,2,6,2,2,0,10,2,1,0
1,2,1,1,5,2,1,2,9,2,1,0
0,2,2,2,7,2,2,1,9,1,0,0
1,2,1,2,5,2,2,1,9,2,1,1
0,2,1,2,8,2,2,1,10,1,0,1
0,2,2,2,8,2,2,1,9,2,0,0
0,2,1,2,7,2,2,1,9,2,0,1
0,2,2,2,8,2,2,2,4,2,1,0
0,2,2,2,8,2,2,1,10,2,0,1
0,2,1,2,7,2,2,1,10,1,0,1
0,1,2,2,7,1,2,1,4,1,0,0
0,2,1,2,7,2,1,1,10,2,1,1
0,1,2,1,7,0,2,2,10,1,0,0
0,2,1,1,7,2,1,1,10,1,0,1
0,2,1,2,0,2,2,1,9,2,1,0
0,1,1,2,1,1,2,1,1,1,0,0
1,2,1,2,5,2,2,1,10,2,1,1
1,1,2,1,7,1,2,2,10,1,1,1
0,1,1,1,7,2,2,1,9,1,1,0
0,2,1,1,2,2,0,1,10,2,0,0
0,2,2,1,7,2,2,1,10,2,0,0
0,1,1,2,7,2,2,1,9,1,1,0
0,2,2,2,7,1,2,1,10,1,0,0
0,1,2,0,1,1,2,0,1,1,0,0
0,1,2,2,7,1,2,1,4,1,0,0
1,2,1,1,7,2,1,2,10,2,0,1
1,2,2,0,8,1,2,1,10,1,0,0
0,2,2,1,7,2,1,1,4,2,0,0
1,2,1,2,5,2,1,2,10,2,0,0
0,2,1,1,5,1,1,2,10,2,0,1
0,1,1,1,7,1,2,1,10,1,0,0
0,1,1,1,7,1,1,1,4,1,0,0
0,2,1,2,7,2,1,1,10,2,0,1
1,1,1,1,1,1,2,1,10,1,0,0
0,1,1,2,5,2,2,1,9,1,0,0
0,2,2,1,7,2,2,1,9,2,0,0
1,2,1,2,7,2,2,1,10,2,0,0
0,2,1,1,7,2,2,2,10,1,0,0
0,1,1,2,7,1,1,2,1,2,0,0
0,2,1,2,7,2,2,1,10,2,0,0
0,2,2,2,7,1,2,1,9,1,0,0
0,2,1,2,2,2,0,0,10,2,0,0
0,1,2,2,7,1,2,1,6,1,0,0
0,1,1,2,7,2,2,2,10,2,0,0
0,2,1,2,7,2,2,1,10,2,0,0
0,2,1,1,7,2,1,2,10,2,0,0
1,2,1,1,6,2,2,2,7,2,1,0
1,2,2,1,7,2,2,1,6,2,1,1
0,2,1,2,5,2,2,1,10,1,0,0
0,1,2,2,1,2,2,1,1,1,0,0
1,2,2,1,1,1,2,2,2,1,1,1
0,2,1,1,7,2,2,1,4,2,1,0
0,1,1,2,7,1,2,1,10,1,1,0
0,1,1,0,5,0,0,2,10,1,0,0
1,1,1,2,7,1,2,1,10,1,0,0
1,2,2,1,1,2,2,0,1,0,0,0
0,2,1,2,5,2,2,1,9,2,0,0
0,1,1,2,7,2,2,1,10,2,0,0
0,1,1,2,7,2,2,2,10,1,0,0
0,1,1,2,7,2,2,1,10,2,0,0
1,2,1,0,5,2,2,0,10,2,1,0
0,2,1,1,5,2,2,1,10,1,1,1
1,2,2,1,1,2,2,2,8,2,1,0
1,2,1,1,7,2,2,1,10,2,1,1
1,0,1,2,7,2,2,2,10,1,1,1
0,1,1,2,5,1,2,1,10,1,1,0
1,2,2,2,7,2,2,1,10,2,1,0
0,1,1,2,7,2,2,2,10,2,0,0
1,1,2,1,7,2,2,2,10,2,0,0
0,1,1,1,7,2,2,2,10,2,0,0
0,2,1,2,8,1,2,1,10,1,0,1
0,1,1,1,7,1,2,1,10,1,0,0
0,2,1,1,7,1,2,1,10,1,0,1
0,1,1,2,7,1,1,2,9,1,0,0
0,2,1,2,7,2,2,1,10,1,0,0
0,0,2,2,8,1,2,1,9,1,1,1
0,1,1,2,7,2,2,1,10,2,1,0
0,1,2,2,7,1,2,2,10,1,0,0
1,2,2,0,7,2,0,1,10,1,1,0
0,2,1,1,2,2,1,1,4,2,1,0
0,2,1,2,5,0,2,1,8,2,0,0
0,2,1,1,8,2,2,2,10,1,0,0
1,2,1,0,3,2,0,0,1,0,0,0
0,2,2,1,7,2,1,1,10,2,0,0
1,2,1,1,7,2,2,1,9,2,1,1
0,1,1,2,7,0,2,2,9,1,0,0
0,1,1,2,7,2,2,1,9,2,0,0
1,2,2,2,1,1,2,1,10,1,0,0
0,1,1,2,7,2,2,1,10,2,1,0
1,2,1,1,7,2,2,2,9,2,1,1
1,2,1,2,7,2,2,1,10,1,1,1
0,2,1,2,7,2,1,2,9,1,0,0
0,2,2,1,7,2,2,1,10,1,1,1
0,2,2,0,1,2,2,0,1,1,0,0
0,2,2,2,7,1,2,1,9,1,0,0
0,1,1,0,7,0,2,0,10,2,0,0
0,2,1,2,8,2,2,1,10,2,0,0
0,2,1,1,5,2,2,2,9,1,0,1
0,2,1,1,7,1,2,1,2,2,0,1
0,2,1,2,5,2,2,1,10,2,1,1
0,1,1,1,7,1,2,1,9,1,0,0
1,2,1,2,5,2,0,2,10,2,1,0
0,1,1,2,7,1,2,1,10,1,0,0
0,2,2,1,7,2,2,2,10,2,0,1
0,1,1,2,7,1,2,2,10,1,0,0
0,1,1,1,7,2,2,1,10,1,1,0
0,2,1,1,5,2,2,1,9,2,0,1
0,2,1,2,7,2,2,1,10,2,1,1
1,2,1,2,7,1,2,1,10,1,1,1
1,2,1,0,1,2,0,0,1,0,0,0
0,1,1,1,5,1,2,2,10,1,0,0
0,2,2,1,7,2,1,1,9,2,0,1
0,2,1,2,8,0,2,2,10,1,0,0
0,2,1,1,1,2,1,2,10,1,0,0
0,1,2,2,7,2,2,1,10,1,0,0
1,2,1,1,7,2,2,1,10,2,0,0
0,2,1,2,7,2,2,1,10,2,0,0
0,1,1,1,7,2,2,1,10,2,0,0
0,2,1,2,7,2,2,1,10,1,1,1
0,2,1,2,7,1,2,1,10,1,0,0
1,2,1,2,7,2,2,1,10,1,1,1
0,1,2,2,7,0,0,1,10,2,0,0
0,1,2,2,7,1,2,1,10,1,1,0
1,2,1,1,7,0,0,2,9,2,1,0
0,1,1,2,7,1,2,2,4,1,0,0
0,2,2,1,7,2,1,2,9,1,1,1
1,2,1,1,7,2,2,1,9,2,1,0
0,2,1,1,1,1,2,1,1,1,0,0
1,2,1,1,7,2,2,1,10,2,1,0
0,2,2,2,7,2,2,2,4,1,0,0
0,1,1,1,7,2,2,1,10,1,1,1
0,2,1,1,7,2,2,1,10,2,1,0
1,2,1,2,5,2,1,1,10,2,0,0
0,1,1,1,7,1,2,2,10,1,1,0
0,2,1,2,7,2,2,1,10,2,0,0
0,2,1,2,5,2,2,1,9,2,1,0
0,2,2,1,1,2,2,2,10,1,1,0
0,2,1,2,7,2,2,1,9,2,1,1
0,1,1,2,7,1,2,1,2,1,0,0
0,2,2,1,7,2,2,1,4,2,1,0
1,2,1,1,5,2,2,1,10,1,0,0
0,2,1,2,7,2,2,2,10,1,0,0
1,1,1,1,7,1,2,1,10,1,0,0
0,1,2,2,1,1,2,2,10,2,1,0
0,2,1,2,5,2,2,1,10,2,0,0
0,1,1,2,7,2,2,1,2,2,0,0
1,2,1,1,7,2,1,2,10,2,0,0
0,2,1,1,7,1,1,2,10,2,0,0
1,2,1,0,5,2,0,1,10,2,1,1
0,1,1,1,1,1,1,1,1,1,0,0
1,2,1,1,7,1,2,2,10,1,1,1
0,1,2,0,7,0,1,2,9,1,0,0
1,2,2,2,7,2,0,1,2,1,1,1
1,2,1,1,1,1,1,1,1,2,0,0
0,2,1,2,9,2,1,1,10,1,0,0
1,2,2,1,7,1,2,1,10,2,1,0
1,2,1,1,7,2,1,2,10,1,1,1
1,2,1,2,8,2,2,2,10,2,0,0
0,2,1,2,5,2,2,1,9,2,1,1
0,1,2,1,7,2,2,1,10,2,0,0
0,2,1,2,7,2,2,1,10,1,1,0
0,1,1,2,7,2,2,1,10,2,1,1
1,2,2,1,1,2,2,1,10,2,0,1
0,1,2,1,7,2,1,1,5,2,0,0
0,2,1,1,5,2,1,2,10,2,1,1
0,2,1,2,5,2,2,1,10,2,0,1
0,1,1,1,5,2,2,1,10,2,0,0
0,2,1,2,1,2,2,1,1,2,0,0
0,1,1,2,7,2,2,1,10,1,0,0
0,1,1,2,7,2,2,2,10,1,0,0
1,1,1,1,5,2,0,2,10,2,0,0
0,2,1,1,7,2,2,1,4,1,0,0
1,2,1,2,8,2,0,0,8,1,0,0
0,2,1,2,7,2,2,1,10,2,0,1
1,2,2,1,7,2,2,1,9,1,0,1
0,2,1,2,8,2,2,1,9,2,0,0
0,2,2,2,6,2,2,2,10,2,0,0
0,2,2,2,7,1,2,1,10,1,0,0
0,1,1,1,8,1,1,2,1,1,0,0
0,1,2,2,8,2,2,2,10,2,0,0
0,2,2,2,7,1,2,1,4,1,0,0
1,2,1,0,2,0,2,1,10,2,0,0
0,1,2,1,9,1,1,2,9,2,1,1
1,1,2,1,7,2,2,1,10,2,1,0
0,1,1,2,8,2,2,1,10,1,1,0
0,1,1,2,5,2,2,1,10,2,0,0
1,2,1,0,7,0,0,1,10,2,1,0
0,1,1,2,0,1,1,2,4,2,0,0
0,2,1,2,7,2,2,1,10,2,0,0
0,2,1,1,7,2,2,1,9,1,1,0
1,2,2,1,1,2,1,2,1,1,0,1
0,1,2,0,1,1,2,2,10,2,0,0
0,2,1,2,7,1,1,1,10,2,1,1
0,1,2,2,7,1,2,1,10,1,0,0
0,2,1,2,5,2,2,2,2,1,1,0
0,1,1,2,7,2,2,1,10,1,0,0
0,2,1,2,7,1,1,2,10,1,0,0
0,2,1,2,7,2,2,1,9,0,0,0
0,1,1,1,7,1,1,2,10,2,0,0
0,2,1,2,5,2,2,1,10,1,0,0
1,2,1,0,8,2,0,2,10,2,1,0
0,2,2,2,7,2,2,1,4,2,0,0
0,1,2,2,7,0,2,2,6,1,0,0
0,2,2,2,7,1,2,1,9,1,1,0
0,1,1,2,7,1,2,2,4,1,0,0
0,1,1,2,7,2,0,2,10,2,0,0
0,2,2,2,7,2,2,2,9,1,0,0
0,1,1,1,7,2,2,2,4,2,0,0
1,2,1,1,5,2,2,1,10,0,1,0
0,2,1,1,5,2,2,2,10,1,1,0
0,1,2,1,7,2,0,2,9,1,0,0
1,2,1,0,7,1,2,1,10,1,0,1
0,2,1,2,7,2,2,2,10,2,0,1
0,2,1,2,7,2,2,1,4,0,1,0
1,1,1,1,7,2,0,0,10,2,1,0
0,1,1,1,7,2,2,2,9,1,0,0
0,1,1,1,7,1,1,2,9,2,0,0
0,2,1,2,7,2,1,2,10,1,1,1
0,2,1,1,7,2,2,1,10,2,1,0
0,2,2,2,7,2,2,2,10,2,1,0
0,2,2,2,7,2,2,1,10,2,0,1
0,2,1,2,5,2,1,1,10,2,0,0
0,1,1,2,8,1,2,1,10,1,0,0
0,1,1,2,7,2,2,1,10,1,0,0
0,1,1,2,7,2,2,2,9,2,0,0
1,2,1,1,0,2,2,2,1,2,0,0
0,1,1,2,7,2,2,2,10,1,0,0
0,1,1,2,7,2,2,1,4,2,0,0
0,2,1,2,5,1,1,1,10,1,0,0
1,2,1,1,5,1,1,2,7,1,1,0
0,1,2,2,1,2,2,1,1,2,0,0
0,2,1,1,7,2,2,2,2,1,0,0
1,2,1,0,1,2,0,2,10,1,0,0
0,1,1,2,7,2,2,1,9,1,0,0
0,1,2,1,1,2,2,1,10,1,0,0
1,2,1,0,7,1,0,1,10,1,1,1
0,1,1,2,7,2,2,2,2,1,1,1
0,1,1,1,7,1,1,2,10,1,0,0
0,2,2,1,1,2,1,1,10,1,1,0
1,2,1,2,7,2,2,2,10,2,1,0
0,2,2,2,1,2,2,2,10,2,1,1
0,2,1,1,7,2,2,1,10,1,1,0
0,2,1,2,7,2,2,1,9,1,0,0
0,1,1,2,5,1,1,1,10,2,0,0
0,2,1,2,5,2,2,1,10,2,1,0
0,1,2,2,7,2,2,1,10,2,1,0
0,1,2,2,7,2,2,2,9,1,0,0
1,2,1,2,5,1,2,2,10,2,0,0
1,2,1,1,5,2,2,1,9,2,1,1
0,1,1,2,7,1,2,1,9,1,0,0
1,1,1,2,7,1,2,1,10,1,1,1
1,2,1,0,1,2,2,1,10,2,0,0
0,2,1,2,8,2,2,1,10,2,0,0
0,1,1,2,5,2,2,1,10,2,0,0
1,2,1,2,7,2,2,1,10,1,1,0
0,2,1,2,8,2,1,2,10,1,1,1
0,2,1,2,9,2,2,2,10,2,1,1
0,2,1,1,1,2,2,1,10,2,1,1
0,1,1,2,7,2,2,2,10,1,0,0
0,0,1,1,7,1,2,0,10,1,1,1
1,2,2,1,7,1,2,1,9,1,1,1
0,2,1,2,7,0,2,1,10,2,0,0
1,2,1,1,1,2,2,2,5,2,0,0
0,2,1,2,7,2,2,1,9,1,1,0
0,1,1,2,7,2,2,2,10,2,0,0
0,1,0,2,7,2,1,2,10,2,1,0
1,2,1,1,5,1,1,2,10,2,1,1
1,2,1,1,7,2,0,2,10,2,1,0
0,2,1,2,5,1,1,1,10,1,1,0
1,2,1,2,8,2,2,1,4,2,1,1
0,2,1,1,7,2,1,2,9,2,0,0
